date,realized_return,equity,prob,prob_signal,signal,target_exposure,exposure,turnover,cost_next_day,prob_thresh,prob_reset_thresh,spread,spread_z,z_entry_dynamic,capital_weight,spread_ret,eurusd,usdinr,eurinr,implied_eurusd,retrained,trained_week,trained_through,n_train_rows,threshold_validation_sharpe,threshold_validation_return,threshold_validation_trades,drawdown,peak_equity,consecutive_losses,cooldown_days_remaining,risk_stop_active,risk_action,risk_reason
2026-07-08,,1.0,0.9953703681627909,1,1,1.681189019766674,1.681189019766674,1.681189019766674,0.0005043567059300021,0.55,0.5,-1.191912947895446e-06,0.5442069145913174,0.08246661707969526,1.2040345780136086,-0.002817224610929698,1.1409013271331787,95.54499816894531,109.0073013305664,1.1409001352202308,True,2026-W28,2026-07-07,2486,2.9716513580430894,0.37190312542149684,158,0.0,1.0,0,0,False,none,
2026-07-09,-0.006483036901644035,0.993516963098356,0.974271277586619,1,0,0.0,0.0,1.681189019766674,0.0005043567059300021,0.55,0.5,-0.0044206527974557375,0.024791655525588742,0.08165199069111943,1.2036131065987734,-0.003556221296605775,1.1422044038772583,95.86180114746094,109.06999969482422,1.1377837510798026,False,2026-W28,2026-07-07,2486,2.9716513580430894,0.37190312542149684,158,-0.006483036901643979,1.0,1,0,False,none,
2026-07-10,-0.0005043567059300021,0.9930158761555622,0.9953703681627909,1,1,1.6810061653599866,1.6810061653599866,1.6810061653599866,0.0005043018496079959,0.55,0.5,-0.0003078724502336705,0.5557445983500671,0.08165199069111943,1.2039036212765581,-0.003601561794327279,1.1419435739517212,95.37000274658203,108.87779998779297,1.1416357015014875,False,2026-W28,2026-07-07,2486,2.9716513580430894,0.37190312542149684,158,-0.006984123844437806,1.0,2,0,False,none,
2026-07-13,-0.0020820467820810793,0.990948370646057,0.9890158573786417,0,0,0.0,0.0,1.6810061653599866,0.0005043018496079959,0.55,0.45,0.00018290879373172864,0.5851898664530627,0.08165199069111943,1.2059437017642005,-0.0009385717702797421,1.1385631561279297,95.62000274658203,108.88690185546875,1.1387460649216614,True,2026-W29,2026-07-10,2489,2.980999386856902,0.37336845719954725,157,-0.009051629353942992,1.0,3,5,False,cooldown,consecutive_losses
2026-07-14,-0.0005043018496079959,0.9904486335498741,0.40169617533683777,0,0,0.0,0.0,0.0,0.0,0.55,0.45,0.0002396958780046532,0.5636087711003055,0.08165199069111943,1.2096156282415123,0.0009197507951051821,1.1422044038772583,96.19000244140625,109.8917007446289,1.142444099755263,False,2026-W29,2026-07-10,2489,2.980999386856902,0.37336845719954725,157,-0.009551366450125887,1.0,4,5,False,cooldown,consecutive_losses
2026-07-15,-0.0,0.9904486335498741,0.9953051606814066,0,0,0.0,0.0,0.0,0.0,0.55,0.45,0.000999914294850024,0.6814479851884974,0.08165199069111943,1.2021670275132015,-0.008711645551320707,1.1469204425811768,96.24500274658203,110.48159790039062,1.1479203568760268,False,2026-W29,2026-07-10,2489,2.980999386856902,0.37336845719954725,157,-0.009551366450125887,1.0,0,4,False,cooldown,consecutive_losses
2026-07-16,-0.0,0.9904486335498741,0.9953051606814066,0,0,0.0,0.0,0.0,0.0,0.55,0.45,-9.81149134817727e-05,0.5438199763172983,0.08165199069111943,1.2087571943632935,-0.00297305236775885,1.1445575952529907,96.33499908447266,110.25150299072266,1.144459480339509,False,2026-W29,2026-07-10,2489,2.980999386856902,0.37336845719954725,157,-0.009551366450125887,1.0,0,3,False,cooldown,consecutive_losses
2026-07-17,-0.0,0.9904486335498741,0.9953051606814066,0,0,0.0,0.0,0.0,0.0,0.55,0.45,-0.0003235973478845633,0.5368685500917618,0.08165199069111943,1.2060557834048582,-0.002989257682712747,1.1445575952529907,96.2699966430664,110.15540313720703,1.1442339979051062,False,2026-W29,2026-07-10,2489,2.980999386856902,0.37336845719954725,157,-0.009551366450125887,1.0,0,2,False,cooldown,consecutive_losses
2026-07-20,-0.0,0.9904486335498741,0.9791319568951925,0,0,0.0,0.0,0.0,0.0,0.55,0.45,6.960560770341573e-05,1.0817344190779667,0.07663562618813516,1.2348251062803048,-0.0039410434272834065,1.1416828632354736,96.43499755859375,110.10489654541016,1.141752468843177,True,2026-W30,2026-07-17,2494,2.989521432226149,0.3776920096390912,155,-0.009551366450125887,1.0,0,1,False,cooldown,consecutive_losses
2026-07-21,0.0,0.9904486335498741,0.06808073880771796,0,0,0.0,0.0,0.0,0.0,0.55,0.45,-0.0016592025634205587,0.548079215454483,0.07663562618813516,1.2379011223215324,0.0008439465115666063,1.1418131589889526,96.4896011352539,110.01300048828125,1.140153956425532,False,2026-W30,2026-07-17,2494,2.989521432226149,0.3776920096390912,155,-0.009551366450125887,1.0,0,0,False,none,consecutive_losses
2026-07-22,0.0,0.9904486335498741,0.0,0,0,0.0,0.0,0.0,0.0,0.55,0.45,-0.00236984951833219,0.2350580849197727,0.08165199069111943,1.25,0.0006231663299760312,1.140380859375,96.34089660644531,109.63700103759766,1.1380110098566678,False,2026-W30,2026-07-17,2494,2.989521432226149,0.3776920096390912,155,-0.009551366450125887,1.0,0,0,False,none,consecutive_losses
2026-07-23,-0.0,0.9904486335498741,0.9886557658513387,1,1,1.7386557658513389,1.7386557658513389,1.7386557658513389,0.0005215967297554017,0.55,0.45,-0.0002874369537226862,1.0989659466356188,0.08165199069111943,1.25,-0.0018293993287506706,1.1383039951324463,96.56300354003906,109.89029693603516,1.1380165581787236,False,2026-W30,2026-07-17,2494,2.989521432226149,0.3776920096390912,155,-0.009551366450125887,1.0,0,0,False,none,consecutive_losses
2026-07-24,-0.0011343217170418636,0.989325146155224,0.9791319568951925,1,1,1.7291319568951924,1.7386557658513389,0.0,0.0,0.55,0.45,-0.00032945600399236774,1.062351284878304,0.08246661707969526,1.25,-0.0003524130534179886,1.1375269889831543,96.552001953125,109.79869842529297,1.137197532979162,False,2026-W30,2026-07-17,2494,2.989521432226149,0.3776920096390912,155,-0.010674853844775956,1.0,1,0,False,none,consecutive_losses
